location : 1,1
devices :542 rssi :-68
devices :288 rssi :-62
devices :542 rssi :-74
devices :542 rssi :-80
devices :741 rssi :-69
devices :542 rssi :-69
devices :741 rssi :-68
devices :741 rssi :-57
devices :741 rssi :-57
devices :542 rssi :-70
devices :288 rssi :-65
devices :542 rssi :-67
devices :288 rssi :-64
devices :542 rssi :-73
devices :288 rssi :-65
devices :741 rssi :-58
devices :288 rssi :-60
devices :741 rssi :-57
devices :542 rssi :-76
devices :288 rssi :-55
devices :288 rssi :-59
devices :741 rssi :-64
devices :741 rssi :-57
devices :288 rssi :-65
devices :542 rssi :-74
devices :288 rssi :-64
devices :288 rssi :-63
devices :542 rssi :-67
devices :288 rssi :-58
devices :288 rssi :-59
devices :542 rssi :-76
devices :288 rssi :-59
devices :741 rssi :-68
devices :542 rssi :-72
devices :288 rssi :-56
devices :741 rssi :-61
devices :542 rssi :-68
devices :741 rssi :-63
devices :542 rssi :-64
devices :741 rssi :-58
devices :741 rssi :-62
devices :542 rssi :-73
devices :542 rssi :-66
devices :741 rssi :-59
devices :542 rssi :-68
devices :288 rssi :-53
devices :542 rssi :-67
devices :288 rssi :-74
devices :288 rssi :-54
devices :542 rssi :-68
devices :288 rssi :-53
devices :542 rssi :-65
devices :542 rssi :-73
devices :542 rssi :-66
devices :741 rssi :-74
devices :542 rssi :-70
devices :288 rssi :-60
devices :542 rssi :-71
devices :741 rssi :-60
devices :741 rssi :-73
devices :542 rssi :-70
devices :288 rssi :-60
devices :741 rssi :-72
devices :288 rssi :-65
devices :542 rssi :-77
devices :288 rssi :-58
devices :741 rssi :-64
devices :542 rssi :-71
devices :741 rssi :-70
devices :542 rssi :-68
location : 1,2
devices :542 rssi :-68
devices :542 rssi :-69
devices :542 rssi :-63
devices :288 rssi :-67
devices :741 rssi :-56
devices :741 rssi :-62
devices :741 rssi :-62
devices :741 rssi :-60
devices :741 rssi :-56
devices :288 rssi :-63
devices :741 rssi :-62
devices :741 rssi :-64
devices :741 rssi :-56
devices :741 rssi :-55
devices :288 rssi :-59
devices :741 rssi :-62
devices :542 rssi :-64
devices :288 rssi :-56
devices :741 rssi :-65
devices :288 rssi :-62
devices :288 rssi :-69
devices :288 rssi :-60
devices :542 rssi :-62
devices :741 rssi :-70
devices :542 rssi :-62
devices :288 rssi :-62
devices :542 rssi :-74
devices :288 rssi :-67
devices :542 rssi :-61
devices :288 rssi :-68
devices :542 rssi :-63
devices :741 rssi :-53
devices :288 rssi :-61
devices :542 rssi :-63
devices :288 rssi :-57
devices :542 rssi :-67
devices :741 rssi :-64
devices :542 rssi :-65
devices :288 rssi :-53
devices :288 rssi :-54
devices :542 rssi :-73
devices :542 rssi :-68
devices :288 rssi :-63
devices :288 rssi :-60
devices :288 rssi :-60
devices :288 rssi :-60
devices :288 rssi :-54
devices :288 rssi :-58
devices :288 rssi :-63
devices :288 rssi :-56
devices :741 rssi :-55
devices :741 rssi :-70
devices :741 rssi :-62
devices :288 rssi :-65
devices :741 rssi :-60
devices :288 rssi :-60
devices :741 rssi :-63
devices :741 rssi :-64
devices :741 rssi :-58
devices :288 rssi :-58
devices :741 rssi :-58
devices :288 rssi :-80
devices :288 rssi :-65
devices :542 rssi :-66
devices :741 rssi :-69
devices :542 rssi :-71
devices :741 rssi :-64
devices :741 rssi :-53
devices :288 rssi :-57
devices :288 rssi :-52
devices :288 rssi :-60
devices :288 rssi :-53
devices :542 rssi :-66
devices :288 rssi :-65
devices :741 rssi :-51
devices :542 rssi :-70
location : 1,3
devices :741 rssi :-56
devices :288 rssi :-59
devices :542 rssi :-77
devices :741 rssi :-55
devices :288 rssi :-55
devices :288 rssi :-60
devices :741 rssi :-55
devices :542 rssi :-62
devices :741 rssi :-55
devices :288 rssi :-61
devices :542 rssi :-71
devices :741 rssi :-55
devices :741 rssi :-62
devices :741 rssi :-59
devices :288 rssi :-59
devices :542 rssi :-78
devices :288 rssi :-55
devices :542 rssi :-62
devices :288 rssi :-60
devices :542 rssi :-76
devices :741 rssi :-58
devices :542 rssi :-80
devices :741 rssi :-57
devices :741 rssi :-74
devices :288 rssi :-56
devices :542 rssi :-64
devices :542 rssi :-67
devices :741 rssi :-68
devices :741 rssi :-67
devices :741 rssi :-65
devices :288 rssi :-66
devices :741 rssi :-65
devices :741 rssi :-66
devices :288 rssi :-65
devices :288 rssi :-72
devices :542 rssi :-77
devices :288 rssi :-69
devices :288 rssi :-70
devices :288 rssi :-71
devices :542 rssi :-76
devices :741 rssi :-67
devices :542 rssi :-71
devices :542 rssi :-77
devices :741 rssi :-64
devices :288 rssi :-71
devices :542 rssi :-76
devices :542 rssi :-76
devices :288 rssi :-59
devices :542 rssi :-67
devices :288 rssi :-62
devices :542 rssi :-67
devices :741 rssi :-60
devices :288 rssi :-63
devices :542 rssi :-67
devices :542 rssi :-68
devices :542 rssi :-76
devices :542 rssi :-74
devices :741 rssi :-65
devices :288 rssi :-53
devices :542 rssi :-67
devices :542 rssi :-78
devices :288 rssi :-70
devices :542 rssi :-69
devices :542 rssi :-69
devices :741 rssi :-57
devices :542 rssi :-76
devices :288 rssi :-60
devices :741 rssi :-58
devices :542 rssi :-65
devices :542 rssi :-67
devices :288 rssi :-52
devices :288 rssi :-56
devices :288 rssi :-56
devices :741 rssi :-69
devices :542 rssi :-80
devices :542 rssi :-76
devices :288 rssi :-56
devices :288 rssi :-82
devices :741 rssi :-67
devices :288 rssi :-57
devices :542 rssi :-80
devices :741 rssi :-63
devices :288 rssi :-82
devices :741 rssi :-72
devices :542 rssi :-85
devices :288 rssi :-75
devices :288 rssi :-62
devices :741 rssi :-57
devices :542 rssi :-64
location : 1,4
devices :288 rssi :-53
devices :542 rssi :-61
devices :542 rssi :-67
devices :288 rssi :-57
devices :741 rssi :-58
devices :542 rssi :-66
devices :542 rssi :-62
devices :288 rssi :-62
devices :542 rssi :-66
devices :741 rssi :-59
devices :542 rssi :-64
devices :741 rssi :-69
devices :741 rssi :-55
devices :288 rssi :-60
devices :542 rssi :-67
devices :288 rssi :-73
devices :542 rssi :-66
devices :542 rssi :-60
devices :542 rssi :-67
devices :542 rssi :-67
devices :741 rssi :-61
devices :542 rssi :-67
devices :288 rssi :-60
devices :741 rssi :-68
devices :741 rssi :-64
devices :542 rssi :-79
devices :542 rssi :-70
devices :542 rssi :-79
devices :288 rssi :-66
devices :741 rssi :-65
devices :542 rssi :-81
devices :288 rssi :-66
devices :741 rssi :-63
devices :542 rssi :-71
devices :288 rssi :-66
devices :741 rssi :-61
devices :288 rssi :-74
devices :741 rssi :-65
devices :288 rssi :-65
devices :288 rssi :-66
devices :542 rssi :-70
devices :288 rssi :-68
devices :288 rssi :-66
devices :542 rssi :-65
devices :288 rssi :-56
devices :542 rssi :-65
devices :542 rssi :-66
devices :741 rssi :-65
devices :741 rssi :-56
devices :542 rssi :-66
devices :288 rssi :-70
devices :542 rssi :-67
devices :288 rssi :-67
devices :288 rssi :-61
devices :288 rssi :-77
devices :542 rssi :-63
devices :542 rssi :-70
devices :542 rssi :-60

location : 2,1
devices :288 rssi :-46
devices :288 rssi :-53
devices :542 rssi :-62
devices :542 rssi :-66
devices :542 rssi :-65
devices :542 rssi :-65
devices :542 rssi :-62
devices :288 rssi :-71
devices :542 rssi :-64
devices :288 rssi :-62
devices :542 rssi :-68
devices :542 rssi :-74
devices :288 rssi :-54
devices :288 rssi :-62
devices :542 rssi :-66
devices :542 rssi :-69
devices :741 rssi :-56
devices :741 rssi :-51
devices :288 rssi :-66
devices :542 rssi :-76
